00CA,GOLDSTONE GTS,35.3493,-116.8932
00M,THIGPEN FIELD,31.9537,-89.2345
00R,LIVINGSTON MUNICIPAL,30.6859,-95.0179
00V,MEADOW LAKE,38.9454,-104.5695
01G,PERRY WARSAW,42.7418,-78.0495
01M,TISHOMINGO COUNTY,34.492,-88.2018
01MT,CRYSTAL LAKES RESORT,48.7948,-114.8859
01V,AURORA AIRPARK,39.7329,-104.6545
02A,GRAGG WADE FLD,32.8504,-86.6115
02C,CAPITOL,43.0876,-88.1779
02G,COLUMBIANA COUNTY,40.6734,-80.6412
03XS,JIM HOGG COUNTY,27.3495,-98.737
04A,FRANK SIKES,31.7362,-86.2626
04CA,GRAY BUTTE FLD,34.564,-117.6832
04G,LANSDOWNE,41.1304,-80.6195
04M,CALHOUN COUNTY,33.9301,-89.3429
04Q,CHRISTENSEN RANCH,36.8718,-121.337
04Y,HAWLEY MUNI,46.8837,-96.3509
05C,GRIFFITH MERRILLVILLE,41.5195,-87.4009
05D,NEW TOWN MUNI,47.967,-102.4779
05F,CITY COUNTY,31.4212,-97.797
05U,EUREKA,39.6043,-116.0051
06A,MOTON FLD MUNI,32.4604,-85.6801
06C,SCHAUMBURG REGIONAL,41.9893,-88.1012
06D,ROLLA MUNI,48.8843,-99.6204
06FA,WILLIAM P.GWINN,26.9082,-80.3384
06G,YOUNGSTOWN EXECUTIVE,41.0593,-80.832
06K,PHILLIPS,40.0751,-91.7901
06M,EUPORA,33.5345,-89.317
06MO,NOAHS ARK,39.2304,-94.8043
06U,JACKPOT HAYDEN FLD,41.9759,-114.6579
07A,FRANKLIN FLD,32.1668,-85.8095
07C,DE KALB CO,41.307,-85.0643
07F,GLADEWATER MUNI,32.5287,-94.9712
07FA,OCEAN REEF CLUB,25.3207,-80.279
07G,FITCH H BEACH,42.5745,-84.8112
07MT,GLASGOW INDUSTRIAL,48.4304,-106.5518
07R,BISHOP MUNI,27.6104,-97.7518
07S,DEER PARK,47.9668,-117.4268
07TE,CUDDIHY FLD,27.7168,-97.5143
07V,CUCHARA VALLEY AT LA VETA,37.5237,-105.0093
08A,WETUMPKA MUNI,32.5295,-86.3282
08C,RIVERVIEW,42.9359,-85.8051
08D,STANLEY MUNI,48.3009,-102.4068
08K,HARVARD STATE,40.6509,-98.0795
08M,LEAKE COUNTY,32.7604,-89.5304
09A,BUTLER CHOCTAW CO,32.1193,-88.1276
09FA,PLACID LAKES,27.252,-81.4132
09J,JEKYLL ISLAND,31.0745,-81.4279
09M,CHARLESTON MUNICIPAL,33.9912,-90.0754
09R,TYLER COUNTY,30.7751,-94.4584
0A2,HESTER MEMORIAL,34.0904,-82.5679
0A3,SMITHVILLE MUNI,35.9854,-85.8095
0A4,JOHNSON CITY STOLPORT,36.3634,-82.3087
0A7,HENDERSONVILLE,35.3076,-82.4329
0A8,BIBB CO,32.9368,-87.0887
0A9,ELIZABETHTON MUNI,36.3709,-82.1737
0B1,COL DYKE FIELD,44.4251,-70.8079
0B5,TURNERS FALLS,42.5912,-72.5229
0B8,ELIZABETH FIELD,41.252,-72.0318
0C0,DACY,42.4043,-88.6334
0CA9,BLECH RANCH,35.5951,-120.3387
0D1,SOUTH HAVEN AREA REGIONAL,42.3512,-86.2554
0D8,GETTYSBURG MUNI,44.987,-99.9534
0F2,BOWIE MUNI,33.6012,-97.7754
0F7,FOUNTAINHEAD LODGE AIRPARK,35.3887,-95.6012
0F8,WILLIAM R POGUE MUNI,36.1754,-96.1518
0F9,TISHOMINGO AIRPARK,34.1959,-96.6754
0G6,WILLIAMS COUNTY,41.467,-84.5068
0G7,FINGERLAKES REGIONAL,42.8804,-76.7812
0GE2,GEORGIA PACIFIC,31.1445,-85.0543
0H90,CASEMENT,41.7337,-81.2193
0I4,BELLE PLAINE MUNI,41.8787,-92.2845
0I8,CYNTHIANA HARRISON CO,38.3662,-84.2837
0J4,FLORALA MUNI,31.0437,-86.3104
0J6,HEADLAND MUNI,31.3648,-85.3095
0J7,LOGAN FLD MUNI,31.1029,-86.0626
0K7,HUMBOLDT MUNI,42.7359,-94.2451
0L7,JEAN,35.7701,-115.3279
0L9,ECHO BAY,36.3109,-114.4637
0LA4,SAINT JOHN THE BAPTIST PARI,30.087,-90.5826
0M0,BILLY FREE MUNI,33.8845,-91.5343
0M1,SCOTT FIELD,35.6379,-88.1279
0M2,REELFOOT LAKE,36.4754,-89.3459
0M3,JOHN A BAKER FIELD,35.5459,-87.5995
0M4,BENTON COUNTY,36.0112,-88.1234
0M5,HUMPHREYS COUNTY,36.1162,-87.7379
0M6,PANOLA COUNTY,34.3668,-89.9001
0M8,BYERLEY,32.8259,-91.1876
0M9,DELHI MUNI,32.4104,-91.4987
0O2,BAKER,35.2854,-116.0826
0O3,CALAVERAS CO MAURY RASMUSSE,38.1462,-120.6479
0O5,UNIVERSITY,38.5312,-121.7862
0OK3,MC KINLEY RANCH,35.6259,-98.524
0OK7,HASKELL,35.8304,-95.6668
0Q5,SHELTER COVE,40.0276,-124.0734
0R0,COLUMBIA MARION COUNTY,31.297,-89.8129
0R1,ATMORE MUNI,31.0168,-87.4459
0R3,ABBEVILLE CHRIS CRUSTA MEMO,29.9754,-92.0837
0R4,CONCORDIA PARISH,31.5668,-91.5001
0R5,DAVID G JOYCE,31.9637,-92.6601
0R6,HAMPTON MUNI,33.5251,-92.4584
0R7,THE RED RIVER,31.9909,-93.3076
0S0,LIND,46.9776,-118.5859
0S7,DOROTHY SCOTT,48.9587,-119.412
0S9,JEFFERSON CO INTL,48.0498,-122.8012
0T0,BRISCOES CATARINA RANCH,28.2504,-99.817
0T6,AINSWORTH,30.3129,-95.027
0TA7,ALTA VISTA RANCH,30.1409,-103.9065
0TE5,SANTA MARIA RANCH,27.4418,-99.1876
0TE7,JOHNSON CITY,30.2604,-98.6234
0TX1,PECAN PLANTATION,32.3537,-97.6762
0V2,HARRIET ALEXANDER FIELD,38.5379,-106.047
0V3,PIONEER VILLAGE FLD,40.5145,-98.9459
0V4,BROOKNEAL CAMPBELL CO,37.142,-79.0162
0V6,MISSION SIOUX,43.307,-100.6279
0V7,KAYENTA,36.7095,-110.2368
0W3,HARFORD CO,39.567,-76.2018
0XS7,ANACACHO RANCH,29.1982,-100.2809
10C,GALT,42.4026,-88.3759
10G,HOLMES COUNTY,40.537,-81.9543
10U,OWYHEE,41.9529,-116.1876
10XS,ARCHER CITY MUNI,33.582,-98.6187
11A,CLAYTON MUNI,31.8834,-85.4848
11D,CLARION COUNTY,41.2259,-79.4409
11II,ATTERBURY FLD,39.3418,-86.0304
11J,EARLY COUNTY,31.3962,-84.892
11M,FULTON ITAWAMBA COUNTY,34.352,-88.377
11R,BRENHAM MUNI,30.2187,-96.3737
11V,EASTON VALLEY VIEW,40.3304,-104.6087
12C,ROCHELLE MUNI KORITZ FIELD,41.8929,-89.0779
12D,TOWER MUNI,47.8184,-92.2912
12G,SHELBY COMMUNITY,40.8729,-82.6976
12J,BREWTON MUNI,31.0512,-87.0679
12K,SUPERIOR MUNI,40.0468,-98.0618
12N,AEROFLEX ANDOVER,41.0087,-74.7379
12NC,ATLANTIC MCOLF,34.8779,-76.3487
12V,ONA AIRPK,38.4404,-82.2012
12Y,LE SUEUR MUNI,44.437,-93.9126
13C,LAKEVIEW GRIFFITH,43.452,-85.2668
13K,EUREKA MUNI,37.8512,-96.2918
13NC,OAK GROVE MCOLF,35.0304,-77.2529
14A,LAKE NORMAN AIRPARK,35.6143,-80.9001
14F,HAMLIN MUNI,32.8501,-100.1379
14G,FREMONT,41.3334,-83.152
14J,CARL FOLSOM,31.4098,-86.0887
14M,HOLLANDALE MUNICIPAL,33.1793,-90.8276
14NC,CAMP DAVIS MCOLF,34.5093,-77.5504
14R,CALDWELL MUNI,30.5154,-96.7037
14TS,O.S.WYATT,27.4295,-98.6076
14Y,TODD FLD,45.8984,-94.8737
15F,HASKELL MUNI,33.1912,-99.7179
15FL,CANNON CREEK,30.1501,-82.6648
15J,COOK COUNTY,31.1379,-83.4529
15M,IUKA,34.772,-88.1659
15R,KARDYS,29.5759,-98.2468
16D,PERHAM MUNI,46.6037,-95.6045
16G,SENECA COUNTY,41.0937,-83.2126
16J,DAWSON MUNI,31.7429,-84.4193
16XS,PROPWASH,33.0804,-97.357
17FL,GREYSTONE,29.2804,-82.1409
17G,PORT BUCYRUS CRAWFORD CO,40.7812,-82.9745
17K,BOISE CITY,36.7743,-102.5104
17M,MAGEE MUNICIPAL,31.8626,-89.7987
17N,CROSS KEYS,39.7054,-75.0329
17TX,MIZE RANCH,32.4487,-98.2545
17V,HAXTUN MUNI,40.6245,-102.6029
17XS,QUAHADI RANCH,32.1707,-98.4382
18A,FRANKLIN COUNTY,34.3404,-83.1337
18I,MCCREARY CO,36.6959,-84.3918
18TA,WEST KERR RANCH,30.142,-99.7459
18TE,ALERT FLD,32.5854,-95.072
18V,PLATTE VALLEY AIRPARK,40.0995,-104.7009
19A,JACKSON COUNTY,34.1737,-83.5604
19M,C A MOORE,33.1254,-90.0254
19N,CAMDEN COUNTY,39.7784,-74.9479
1A0,DALLAS BAY SKY PARK,35.1876,-85.1776
1A3,MARTIN CAMPBELL FIELD,35.0162,-84.3462
1A5,MACON COUNTY,35.2226,-83.4193
1A6,MIDDLESBORO BELL CO,36.6104,-83.7376
1A7,JACKSON COUNTY,36.4001,-85.6418
1A9,AUTAUGA CO,32.4387,-86.5104
1AR3,BOB NORMON AIRSTRIP,34.9729,-91.5259
1AZ0,MOBILE,33.1012,-112.274
1B0,DEXTER REGIONAL,45.0084,-69.2395
1B1,COLUMBIA COUNTY,42.2912,-73.7104
1B2,KATAMA AIRPARK,41.3584,-70.5245
1B6,HOPEDALE INDUSTRIAL PARK,42.1062,-71.5101
1B9,MANSFIELD MUNICIPAL,42.0001,-71.1968
1C1,PAXTON,40.4487,-88.1279
1C2,HOWELL NEW LENOX,41.4798,-87.9215
1C5,CLOW INTERNATIONAL,41.6959,-88.1293
1CA1,BELRIDGE STRIP,35.4729,-119.729
1D1,MILBANK MUNI,45.2329,-96.5629
1D3,PLATTE MUNI,43.4029,-98.8295
1D7,THE SIGURD ANDERSON,45.2929,-97.5137
1D8,REDFIELD MUNI,44.862,-98.5295
1F0,ARDMORE DOWNTOWN EXECUTIVE,34.147,-97.1226
1F4,MADILL MUNI,34.1404,-96.812
1F8,AMBASSADOR FIELD,32.5851,-95.0637
1F9,BRIDGEPORT MUNI,33.1745,-97.8284
1G0,WOOD COUNTY,41.3909,-83.6304
1G1,ELYRIA,41.3312,-82.0995
1G2,GRANITE FALLS MUNI,44.7529,-95.5559
1G3,KENT STATE UNIV,41.1518,-81.4162
1G5,MEDINA MUNICIPAL,41.1312,-81.7645
1H2,EFFINGHAM COUNTY MEMORIAL,39.0704,-88.5334
1H5,WILLOW SPRINGS MEMORIAL,36.9959,-91.9626
1H7,GROVE MUNI,36.6051,-94.7384
1H8,CASEY MUNI,39.3026,-88.004
1I2,RILEY FLD,40.3009,-87.2287
1I7,CLINTON,39.7126,-87.4012
1J0,TRI CO,30.8454,-85.6018
1J6,BOB LEE FLIGHT STRIP,29.1045,-81.3137
1K7,FREDONIA,37.5793,-95.8376
1K9,SATANTA MUNICIPAL,37.4543,-100.992
1L1,LINCOLN COUNTY,37.787,-114.4212
1L3,SEARCHLIGHT,35.4443,-114.9093
1L7,ESCALANTE MUNI,37.7445,-111.5701
1L8,HURRICANE,37.1387,-113.3062
1L9,PAROWAN,37.8595,-112.8159
1M1,NORTH LITTLE ROCK MUNI,34.8337,-92.2579
1M2,BELZONI MUNICIPAL,33.1454,-90.5151
1M4,POSEY FLD,34.2804,-87.6004
1M5,PORTLAND MUNI,36.5929,-86.4768
1M6,STANDARD FLD,36.8026,-87.1762
1M9,LAKE BARKLEY STATE PARK,36.8187,-87.9087
1MO3,LAKE VIKING,39.9334,-94.0737
1MS8,COLUMBUS AFB AUX FIELD,32.9459,-88.5868
1MY1,CARLSON AG,45.9857,-96.2032
1N0,RIDGELY AIRPARK,38.9701,-75.8662
1N4,WOODBINE MUNI,39.2193,-74.7945
1N7,BLAIRSTOWN,40.9712,-74.997
